"payment_id","customer_id","staff_id","rental_id","amount","payment_date"
"16051","269","1","98","0.99","2022-01-29T02:58:52.222594"
"16065","274","1","147","2.99","2022-01-25T13:14:16.895377"
"16109","297","2","143","0.99","2022-01-28T01:49:49.128218"
"16195","344","2","157","2.99","2022-01-31T06:58:51.176578"
"16202","348","2","821","0.99","2022-01-26T17:52:41.359433"
"16216","357","2","945","0.99","2022-01-24T01:39:09.052005"
"16237","369","1","31","4.99","2022-01-31T01:12:16.422091"
"16247","372","1","617","2.99","2022-01-29T13:51:46.565326"
"16249","373","2","257","4.99","2022-01-29T06:33:33.142744"
"16259","379","2","209","4.99","2022-01-31T00:02:06.818362"
"16295","397","2","1002","0.99","2022-01-28T14:25:14.841952"
"16318","409","1","310","6.99","2022-01-25T02:57:07.766857"
"16320","411","2","972","1.99","2022-01-31T12:12:57.610606"
"16331","416","2","724","3.99","2022-01-24T05:59:03.204053"
"16336","419","1","62","2.99","2022-01-29T10:48:28.376954"
"16354","432","2","326","7.99","2022-01-28T02:42:25.075477"
"16365","437","1","192","2.99","2022-01-24T18:03:14.157666"
"16367","437","1","666","5.99","2022-01-29T23:26:14.302644"
"16405","457","2","1024","7.99","2022-01-25T05:27:19.820601"
"16416","464","2","373","1.99","2022-01-27T00:25:52.226731"
"16420","468","2","101","6.99","2022-01-28T21:21:03.857629"
"16463","489","2","513","2.99","2022-01-28T05:47:04.957501"
"16518","515","2","187","8.99","2022-01-29T09:03:30.047386"
"16536","528","2","472","0.99","2022-01-26T04:43:15.130965"
"16571","546","1","197","5.99","2022-01-26T05:40:52.164582"
"16580","549","2","852","4.99","2022-01-31T18:59:37.587453"
"16635","582","1","281","0.99","2022-01-26T07:24:18.457849"
"16654","594","1","1045","6.99","2022-01-30T05:32:24.000007"
"16665","203","1","314","0.99","2022-01-28T01:22:36.913361"
"16681","3","1","830","2.99","2022-01-23T18:24:52.109704"
"16684","5","1","1142","1.99","2022-01-27T11:15:27.766413"
"16706","16","1","335","3.99","2022-01-23T21:35:04.736603"
"16721","19","2","696","2.99","2022-01-24T05:55:04.465099"
"16725","21","1","260","3.99","2022-01-23T20:39:48.15808"
"16726","21","2","463","3.99","2022-01-28T00:12:57.558291"
"16804","58","1","230","0.99","2022-01-28T05:32:46.647228"
"16810","60","1","318","4.99","2022-01-29T02:46:18.217762"
"16817","64","1","587","0.99","2022-01-29T05:52:32.288355"
"16825","69","2","765","1.99","2022-01-29T05:38:06.311495"
"16840","77","1","419","1.99","2022-01-29T07:27:31.455384"
"16850","83","2","222","0.99","2022-01-31T23:15:03.268858"
"16851","83","2","950","0.99","2022-01-31T21:32:34.114471"
"16861","88","2","36","2.99","2022-01-24T03:45:54.820069"
"16966","146","2","762","7.99","2022-01-25T12:58:02.01874"
"16980","154","2","865","7.99","2022-01-27T05:34:41.615317"
"17021","174","1","41","5.99","2022-01-26T19:33:16.330945"
"17025","176","1","553","3.99","2022-01-29T15:58:04.749257"
"17091","217","2","828","2.99","2022-01-26T07:36:40.672488"
"17095","220","1","480","3.99","2022-01-27T00:02:27.359434"
"17102","223","2","524","2.99","2022-01-23T16:28:46.388149"
"17135","241","1","627","7.99","2022-01-29T18:46:57.785609"
"17201","266","1","86","1.99","2022-01-28T19:58:02.018945"
"17270","284","1","1171","0.99","2022-01-25T02:27:54.217882"
"17274","285","2","1302","3.99","2022-01-29T07:02:18.549386"
"17276","286","1","1690","8.99","2022-01-28T17:14:04.070713"
"17291","290","2","1496","4.99","2022-01-25T02:07:53.953561"
"17298","292","2","2258","3.99","2022-01-29T20:21:55.755158"
"17303","293","2","1860","4.99","2022-01-28T00:10:40.988978"
"17311","295","1","1328","2.99","2022-01-23T19:20:08.440348"
"17313","295","1","2054","2.99","2022-01-23T14:43:42.505434"
"17315","295","1","2638","1.99","2022-01-29T23:23:14.790339"
"17347","303","1","3107","2.99","2022-01-30T02:50:21.310571"
"17351","304","2","2902","4.99","2022-01-24T23:49:48.948734"
"17403","318","2","3376","7.99","2022-01-29T11:47:43.644651"
"17421","322","1","2983","7.99","2022-01-25T20:07:24.992406"
"17423","322","2","3413","8.99","2022-01-28T06:07:02.442022"
"17454","329","2","3053","0.99","2022-01-31T08:03:12.9492"
"17464","333","1","1667","2.99","2022-01-30T09:25:30.189577"
"17489","339","2","1432","3.99","2022-01-24T16:07:12.87389"
"17490","339","1","1536","4.99","2022-01-26T06:32:55.01393"
"17495","340","1","1697","3.99","2022-01-31T12:10:25.800622"
"17508","341","1","3382","5.99","2022-01-30T13:39:17.919738"
"17579","360","2","1492","0.99","2022-01-26T15:24:50.296376"
"17608","366","2","2214","0.99","2022-01-26T02:43:22.116339"
"17615","368","2","3275","4.99","2022-01-26T11:19:47.778411"
"17684","385","1","3105","0.99","2022-01-29T23:01:24.157019"
"17685","386","2","1585","3.99","2022-01-26T16:38:44.367328"
"17717","392","2","2890","4.99","2022-01-31T01:41:09.532292"
"17737","398","2","3141","9.99","2022-01-24T13:31:08.469382"
"17783","411","2","1997","2.99","2022-01-28T04:05:52.012455"
"17819","424","1","3166","6.99","2022-01-27T02:45:01.808857"
"17824","426","1","2204","2.99","2022-01-25T08:28:48.956372"
"17857","434","1","1225","0.99","2022-01-30T11:17:40.134298"
"17869","437","2","3265","2.99","2022-01-28T10:13:39.904168"
"17871","438","2","1779","0.99","2022-01-25T03:32:26.207845"
"17880","439","1","2992","2.99","2022-01-25T20:12:35.124342"
"17911","449","1","2348","0.99","2022-01-23T16:20:02.390905"
"17916","450","2","2278","0.99","2022-01-31T10:18:37.530517"
"17920","451","1","1202","0.99","2022-01-31T01:33:53.515156"
"17922","451","1","1940","6.99","2022-01-31T21:19:41.053708"
"17936","453","2","2887","4.99","2022-01-24T02:35:12.665382"
"17938","454","2","1844","7.99","2022-01-25T10:54:51.36445"
"17950","455","2","2356","0.99","2022-01-31T08:22:13.073352"
"17959","457","2","1727","0.99","2022-01-23T22:26:40.481358"
"17963","457","1","2762","3.99","2022-01-26T16:52:06.066477"
"17974","459","2","3045","0.99","2022-01-26T14:35:07.808117"
"17985","463","1","3309","4.99","2022-01-24T18:42:39.997128"
"18003","468","1","1821","2.99","2022-01-25T20:14:02.390989"
"18005","468","2","2462","4.99","2022-01-29T19:30:23.234361"
"18038","478","2","2358","4.99","2022-01-29T10:04:26.187969"
"18076","489","1","2802","4.99","2022-01-27T19:48:13.833307"
"18102","497","2","2818","4.99","2022-01-24T13:32:43.466888"
"18113","500","1","1375","5.99","2022-01-28T05:06:57.113409"
"18136","506","2","2824","6.99","2022-01-30T23:54:20.047456"
"18159","513","2","2290","7.99","2022-01-24T21:49:35.843508"
"18160","513","2","2737","1.99","2022-01-24T20:44:51.809898"
"18173","516","2","1159","4.99","2022-01-30T00:37:02.900724"
"18198","523","2","1729","6.99","2022-01-28T23:25:38.508245"
"18241","535","1","1712","4.99","2022-01-29T06:58:55.481946"
"18277","546","2","1403","0.99","2022-01-24T04:06:27.214668"
"18317","559","1","2706","0.99","2022-01-28T17:19:35.594334"
"18328","561","1","2950","4.99","2022-01-27T19:57:32.453461"
"18386","576","1","2651","3.99","2022-01-26T11:47:47.387881"
